[SYS] 2023/12/27 - 16:53:34 | One API  started 
[SYS] 2023/12/27 - 16:53:34 | using MySQL as database 
[FATAL] 2023/12/27 - 16:53:34 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2023/12/27 - 16:53:35 | One API  started 
[SYS] 2023/12/27 - 16:53:35 | using MySQL as database 
[SYS] 2023/12/27 - 16:53:35 | database migration started 
[SYS] 2023/12/27 - 16:53:35 | database migrated 
[SYS] 2023/12/27 - 16:53:35 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2023/12/27 - 16:53:35 | initializing token encoders 
[SYS] 2023/12/27 - 16:53:35 | token encoders initialized 
[GIN] 2023/12/27 - 17:54:57 | 20231227175457285815369OF9nVocD | 200 |      41.132µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:55:27 | 20231227175527375614319ZUNsmJTn | 200 |      34.522µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:55:57 | 202312271755574531996986AZE0y6V | 200 |      32.548µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:56:27 | 20231227175627529271511SLPe7yzI | 200 |      46.884µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:56:57 | 20231227175657613708281DM8LwFM1 | 200 |      55.125µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:57:27 | 20231227175727713297324vzVEx0vr | 200 |      53.011µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:57:57 | 20231227175757781079066bYjKeN14 | 200 |      44.259µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:58:27 | 20231227175827875883337HNmQPTOn | 200 |       38.49µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:58:53 | 20231227175853224395042gjbA1Z1t | 200 |    1.169392ms |   10.10.111.146 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1703674733&channel=
[GIN] 2023/12/27 - 17:58:57 | 20231227175857983750077hYACajg8 | 200 |      47.242µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:58:59 | 20231227175859957476012Zj5CkNjM | 200 |    1.415132ms |   10.10.111.146 |     GET /api/channel/?p=0
[GIN] 2023/12/27 - 17:59:01 | 20231227175901184556871U9TTb44d | 200 |     368.008µs |   10.10.111.146 |     GET /api/group/
[GIN] 2023/12/27 - 17:59:01 | 20231227175901183883186YVkO0ScB | 200 |     1.29852ms |   10.10.111.146 |     GET /api/channel/models
[GIN] 2023/12/27 - 17:59:13 | 202312271759134829936112jG83Qnt | 200 |     428.588µs |   10.10.111.146 |     GET /api/channel/?p=0
[GIN] 2023/12/27 - 17:59:14 | 20231227175914501501083vZBtx4U9 | 200 |     258.046µs |   10.10.111.146 |     GET /api/group/
[GIN] 2023/12/27 - 17:59:14 | 20231227175914501277541SPtJguNW | 200 |      686.15µs |   10.10.111.146 |     GET /api/channel/models
[GIN] 2023/12/27 - 17:59:28 | 2023122717592882909186RY7zVIf0 | 200 |      43.197µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:59:58 | 20231227175958146061619ssre5mNC | 200 |      45.151µs |       127.0.0.1 |     GET /api/status
