[SYS] 2024/01/02 - 10:29:25 | One API  started 
[SYS] 2024/01/02 - 10:29:25 | using MySQL as database 
[FATAL] 2024/01/02 - 10:29:25 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2024/01/02 - 10:29:26 | One API  started 
[SYS] 2024/01/02 - 10:29:26 | using MySQL as database 
[SYS] 2024/01/02 - 10:29:26 | database migration started 
[SYS] 2024/01/02 - 10:29:26 | database migrated 
[SYS] 2024/01/02 - 10:29:26 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2024/01/02 - 10:29:26 | initializing token encoders 
[SYS] 2024/01/02 - 10:29:26 | token encoders initialized 
[GIN] 2024/01/02 - 11:50:11 | 20240102115011797242979nes0qvhc | 200 |      63.835µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:50:42 | 2024010211504264074794DrPfmdmZ | 200 |      58.375µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:51:12 | 20240102115112206717536UfEa28Qg | 200 |    2.058035ms |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:51:42 | 202401021151423831616500CcrbRlN | 200 |    1.579278ms |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:52:12 | 20240102115212506454562gisbT0XB | 200 |    2.135255ms |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:52:42 | 20240102115242569269559qFPNl4b0 | 200 |     331.169µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:53:12 | 20240102115312620666880DJeUnrvk | 200 |      36.843µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:53:42 | 20240102115342754938418mdmtJvta | 200 |      73.375µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:54:12 | 20240102115412880955346ACJn18oy | 200 |    2.302922ms |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:54:42 | 20240102115442959908245u87LKSSx | 200 |      313.46µs |       127.0.0.1 |     GET /api/status
